MNST,Monster Beverage Corporation,"47,561,669,352",$89.89 ,0.585
ATVI,"Activision Blizzard, Inc. Common Stock","47,301,903,706",$60.73 ,-1.65
EBAY,eBay Inc. Common Stock,"46,787,522,592",$74.74 ,0.11
MCHP,Microchip Technology Incorporated Common Stock,"46,686,821,708",$84.14 ,1.46
CTAS,Cintas Corporation Common Stock,"46,638,586,013",$451.02 ,4.9669
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,"46,403,521,204",$182.51 ,-0.37
PAYX,"Paychex, Inc. Common Stock","45,546,215,990",$126.31 ,1.32
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,"43,398,924,522",$82.63 ,0.635
KHC,The Kraft Heinz Company Common Stock,"43,355,877,647",$35.39 ,0.045
ORLY,"O'Reilly Automotive, Inc. Common Stock","43,014,368,006",$638.40 ,2.23
AEP,"American Electric Power Company, Inc. Common Stock","41,637,154,112",$83.88 ,0.5
WBA,"Walgreens Boots Alliance, Inc. Common Stock","41,004,057,398",$47.37 ,0.39
MTCH,"Match Group, Inc. Common Stock","39,950,414,656",$141.13 ,0.175
ROST,"Ross Stores, Inc. Common Stock","39,754,790,057",$111.87 ,-0.91
BIIB,Biogen Inc. Common Stock,"37,591,313,928",$255.91 ,-1.28
VRSK,"Verisk Analytics, Inc. Common Stock","37,084,844,001",$230.11 ,0.08
OKTA,"Okta, Inc. Class A Common Stock","36,426,674,280",$235.52 ,-5.1568
EA,Electronic Arts Inc. Common Stock,"36,272,972,421",$128.26 ,-4.13
CPRT,"Copart, Inc. (DE) Common Stock","35,897,375,196",$151.38 ,-1.03
ANSS,"ANSYS, Inc. Common Stock","35,508,460,532",$406.96 ,4.44
XEL,Xcel Energy Inc. Common Stock,"35,473,132,973",$65.85 ,0.7525
FAST,Fastenal Company Common Stock,"35,291,678,303",$61.36 ,0.3294
SGEN,Seagen Inc. Common Stock,"32,433,132,359",$177.37 ,-6.25
PCAR,PACCAR Inc. Common Stock,"30,338,090,370",$87.39 ,1.015
DLTR,Dollar Tree Inc. Common Stock,"30,095,457,057",$133.81 ,-1.15
VRSN,"VeriSign, Inc. Common Stock","27,384,166,827",$246.53 ,0.83
CDW,CDW Corporation Common Stock,"26,904,375,840",$198.23 ,2.17
SWKS,"Skyworks Solutions, Inc. Common Stock","26,508,238,599",$160.52 ,0.365
SIRI,Sirius XM Holdings Inc. Common Stock,"24,736,869,301",$6.19 ,-0.005
FOXA,Fox Corporation Class A Common Stock,"22,225,250,988",$39.02 ,0.03
CERN,Cerner Corporation Common Stock,"21,525,337,122",$73.16 ,0.42
SPLK,Splunk Inc. Common Stock,"21,164,115,520",$131.01 ,-1.48
FOX,Fox Corporation Class B Common Stock,"20,698,760,146",$36.34 ,0.02
TCOM,Trip.com Group Limited American Depositary Shares,"18,518,108,769",$29.05 ,0.02
CHKP,Check Point Software Technologies Ltd. Ordinary Shares,"15,141,652,474",$114.02 ,-1.29
INCY,Incyte Corp. Common Stock,"14,123,746,115",$63.94 ,-0.57
PTON,"Peloton Interactive, Inc. Class A Common Stock","13,631,543,277",$44.99 ,-2.155
